Time (s),u`,delta,,Params
0,0.000386091,0.192354117,input rate,100
0.01,0.000395855,0.19320878,end time,5
0.02,0.000405846,0.194062927,a1,0.2
0.03,0.000416068,0.19491652,mu1,5
0.04,0.000426526,0.195769516,sigma1,2
0.05,0.000437225,0.196621876,a2,0.3
0.06,0.00044817,0.197473559,mu2,2
0.07,0.000459366,0.198324524,sigma2,3
0.08,0.000470818,0.199174729,,
0.09,0.000482532,0.200024134,,
0.1,0.000494513,0.200872698,,
0.11,0.000506765,0.201720379,,
0.12,0.000519295,0.202567135,,
0.13,0.000532109,0.203412926,,
0.14,0.000545211,0.204257709,,
0.15,0.000558608,0.205101442,,
0.16,0.000572305,0.205944084,,
0.17,0.000586309,0.206785593,,
0.18,0.000600626,0.207625926,,
0.19,0.000615262,0.208465042,,
0.2,0.000630222,0.209302898,,
0.21,0.000645514,0.210139451,,
0.22,0.000661145,0.21097466,,
0.23,0.000677119,0.211808481,,
0.24,0.000693445,0.212640872,,
0.25,0.00071013,0.213471791,,
0.26,0.000727179,0.214301194,,
0.27,0.0007446,0.215129039,,
0.28,0.000762401,0.215955283,,
0.29,0.000780588,0.216779883,,
0.3,0.000799169,0.217602796,,
0.31,0.000818152,0.218423979,,
0.32,0.000837543,0.219243388,,
0.33,0.000857351,0.220060982,,
0.34,0.000877584,0.220876715,,
0.35,0.000898249,0.221690546,,
0.36,0.000919355,0.222502432,,
0.37,0.00094091,0.223312328,,
0.38,0.000962922,0.224120191,,
0.39,0.0009854,0.224925978,,
0.4,0.001008352,0.225729647,,
0.41,0.001031787,0.226531153,,
0.42,0.001055714,0.227330453,,
0.43,0.001080142,0.228127503,,
0.44,0.00110508,0.228922261,,
0.45,0.001130537,0.229714683,,
0.46,0.001156522,0.230504726,,
0.47,0.001183046,0.231292345,,
0.48,0.001210117,0.232077499,,
0.49,0.001237746,0.232860143,,
0.5,0.001265943,0.233640235,,
0.51,0.001294717,0.23441773,,
0.52,0.001324079,0.235192587,,
0.53,0.00135404,0.235964761,,
0.54,0.001384608,0.236734209,,
0.55,0.001415797,0.237500888,,
0.56,0.001447615,0.238264756,,
0.57,0.001480074,0.239025768,,
0.58,0.001513186,0.239783883,,
0.59,0.001546961,0.240539057,,
0.6,0.001581411,0.241291247,,
0.61,0.001616547,0.24204041,,
0.62,0.001652381,0.242786504,,
0.63,0.001688925,0.243529487,,
0.64,0.001726191,0.244269314,,
0.65,0.001764191,0.245005945,,
0.66,0.001802938,0.245739336,,
0.67,0.001842443,0.246469445,,
0.68,0.00188272,0.24719623,,
0.69,0.001923781,0.247919649,,
0.7,0.001965639,0.248639659,,
0.71,0.002008308,0.24935622,,
0.72,0.0020518,0.250069288,,
0.73,0.002096129,0.250778822,,
0.74,0.002141309,0.251484781,,
0.75,0.002187354,0.252187123,,
0.76,0.002234276,0.252885807,,
0.77,0.002282092,0.253580791,,
0.78,0.002330814,0.254272035,,
0.79,0.002380457,0.254959497,,
0.8,0.002431036,0.255643137,,
0.81,0.002482565,0.256322913,,
0.82,0.00253506,0.256998787,,
0.83,0.002588536,0.257670716,,
0.84,0.002643007,0.258338661,,
0.85,0.00269849,0.259002582,,
0.86,0.002755,0.259662439,,
0.87,0.002812552,0.260318192,,
0.88,0.002871164,0.260969801,,
0.89,0.00293085,0.261617228,,
0.9,0.002991627,0.262260433,,
0.91,0.003053512,0.262899377,,
0.92,0.003116521,0.263534022,,
0.93,0.003180672,0.264164328,,
0.94,0.00324598,0.264790257,,
0.95,0.003312464,0.265411771,,
0.96,0.003380141,0.266028833,,
0.97,0.003449028,0.266641403,,
0.98,0.003519143,0.267249445,,
0.99,0.003590503,0.267852922,,
1,0.003663128,0.268451795,,
1.01,0.003737034,0.269046029,,
1.02,0.003812242,0.269635585,,
1.03,0.003888768,0.270220429,,
1.04,0.003966632,0.270800524,,
1.05,0.004045853,0.271375833,,
1.06,0.00412645,0.271946321,,
1.07,0.004208441,0.272511952,,
1.08,0.004291848,0.273072692,,
1.09,0.004376688,0.273628505,,
1.1,0.004462983,0.274179356,,
1.11,0.004550751,0.27472521,,
1.12,0.004640014,0.275266035,,
1.13,0.004730791,0.275801795,,
1.14,0.004823102,0.276332457,,
1.15,0.004916969,0.276857988,,
1.16,0.005012413,0.277378354,,
1.17,0.005109453,0.277893523,,
1.18,0.005208112,0.278403462,,
1.19,0.00530841,0.278908138,,
1.2,0.005410369,0.279407521,,
1.21,0.005514011,0.279901577,,
1.22,0.005619358,0.280390276,,
1.23,0.00572643,0.280873586,,
1.24,0.005835251,0.281351477,,
1.25,0.005945843,0.281823919,,
1.26,0.006058228,0.28229088,,
1.27,0.006172429,0.282752332,,
1.28,0.006288467,0.283208245,,
1.29,0.006406367,0.283658589,,
1.3,0.006526151,0.284103336,,
1.31,0.006647843,0.284542457,,
1.32,0.006771464,0.284975923,,
1.33,0.00689704,0.285403708,,
1.34,0.007024594,0.285825783,,
1.35,0.007154148,0.286242121,,
1.36,0.007285728,0.286652696,,
1.37,0.007419357,0.28705748,,
1.38,0.007555059,0.287456448,,
1.39,0.007692858,0.287849574,,
1.4,0.007832779,0.288236832,,
1.41,0.007974846,0.288618197,,
1.42,0.008119084,0.288993645,,
1.43,0.008265518,0.28936315,,
1.44,0.008414171,0.28972669,,
1.45,0.008565071,0.29008424,,
1.46,0.00871824,0.290435777,,
1.47,0.008873705,0.290781278,,
1.48,0.00903149,0.291120721,,
1.49,0.009191622,0.291454083,,
1.5,0.009354124,0.291781343,,
1.51,0.009519024,0.292102479,,
1.52,0.009686347,0.29241747,,
1.53,0.009856118,0.292726296,,
1.54,0.010028363,0.293028937,,
1.55,0.010203108,0.293325371,,
1.56,0.010380379,0.293615581,,
1.57,0.010560202,0.293899546,,
1.58,0.010742602,0.294177249,,
1.59,0.010927607,0.294448671,,
1.6,0.011115243,0.294713794,,
1.61,0.011305534,0.294972601,,
1.62,0.011498509,0.295225075,,
1.63,0.011694193,0.295471198,,
1.64,0.011892612,0.295710955,,
1.65,0.012093793,0.29594433,,
1.66,0.012297763,0.296171308,,
1.67,0.012504547,0.296391873,,
1.68,0.012714173,0.296606011,,
1.69,0.012926667,0.296813708,,
1.7,0.013142055,0.29701495,,
1.71,0.013360363,0.297209724,,
1.72,0.013581619,0.297398016,,
1.73,0.013805849,0.297579815,,
1.74,0.01403308,0.297755108,,
1.75,0.014263337,0.297923884,,
1.76,0.014496647,0.298086131,,
1.77,0.014733037,0.298241839,,
1.78,0.014972533,0.298390997,,
1.79,0.015215161,0.298533596,,
1.8,0.015460948,0.298669625,,
1.81,0.01570992,0.298799077,,
1.82,0.015962103,0.298921942,,
1.83,0.016217524,0.299038212,,
1.84,0.016476207,0.299147879,,
1.85,0.01673818,0.299250937,,
1.86,0.017003469,0.299347378,,
1.87,0.017272098,0.299437195,,
1.88,0.017544094,0.299520384,,
1.89,0.017819482,0.299596938,,
1.9,0.018098288,0.299666852,,
1.91,0.018380538,0.299730121,,
1.92,0.018666255,0.299786743,,
1.93,0.018955467,0.299836711,,
1.94,0.019248196,0.299880024,,
1.95,0.01954447,0.299916678,,
1.96,0.019844311,0.299946671,,
1.97,0.020147745,0.299970001,,
1.98,0.020454796,0.299986667,,
1.99,0.020765488,0.299996667,,
2,0.021079845,0.3,,
2.01,0.021397891,0.299996667,,
2.02,0.02171965,0.299986667,,
2.03,0.022045144,0.299970001,,
2.04,0.022374398,0.299946671,,
2.05,0.022707434,0.299916678,,
2.06,0.023044275,0.299880024,,
2.07,0.023384943,0.299836711,,
2.08,0.023729461,0.299786743,,
2.09,0.024077851,0.299730121,,
2.1,0.024430134,0.299666852,,
2.11,0.024786332,0.299596938,,
2.12,0.025146466,0.299520384,,
2.13,0.025510557,0.299437195,,
2.14,0.025878626,0.299347378,,
2.15,0.026250692,0.299250937,,
2.16,0.026626777,0.299147879,,
2.17,0.027006899,0.299038212,,
2.18,0.027391079,0.298921942,,
2.19,0.027779334,0.298799077,,
2.2,0.028171684,0.298669625,,
2.21,0.028568147,0.298533596,,
2.22,0.028968741,0.298390997,,
2.23,0.029373484,0.298241839,,
2.24,0.029782393,0.298086131,,
2.25,0.030195484,0.297923884,,
2.26,0.030612774,0.297755108,,
2.27,0.031034279,0.297579815,,
2.28,0.031460015,0.297398016,,
2.29,0.031889996,0.297209724,,
2.3,0.032324238,0.29701495,,
2.31,0.032762755,0.296813708,,
2.32,0.033205561,0.296606011,,
2.33,0.033652669,0.296391873,,
2.34,0.034104092,0.296171308,,
2.35,0.034559842,0.29594433,,
2.36,0.035019931,0.295710955,,
2.37,0.035484372,0.295471198,,
2.38,0.035953174,0.295225075,,
2.39,0.036426348,0.294972601,,
2.4,0.036903905,0.294713794,,
2.41,0.037385853,0.294448671,,
2.42,0.037872201,0.294177249,,
2.43,0.038362958,0.293899546,,
2.44,0.038858132,0.293615581,,
2.45,0.039357729,0.293325371,,
2.46,0.039861756,0.293028937,,
2.47,0.040370219,0.292726296,,
2.48,0.040883124,0.29241747,,
2.49,0.041400476,0.292102479,,
2.5,0.041922277,0.291781343,,
2.51,0.042448534,0.291454083,,
2.52,0.042979247,0.291120721,,
2.53,0.04351442,0.290781278,,
2.54,0.044054053,0.290435777,,
2.55,0.044598149,0.29008424,,
2.56,0.045146708,0.28972669,,
2.57,0.045699729,0.28936315,,
2.58,0.046257211,0.288993645,,
2.59,0.046819153,0.288618197,,
2.6,0.047385552,0.288236832,,
2.61,0.047956405,0.287849574,,
2.62,0.048531708,0.287456448,,
2.63,0.049111458,0.28705748,,
2.64,0.049695648,0.286652696,,
2.65,0.050284273,0.286242121,,
2.66,0.050877326,0.285825783,,
2.67,0.0514748,0.285403708,,
2.68,0.052076686,0.284975923,,
2.69,0.052682976,0.284542457,,
2.7,0.05329366,0.284103336,,
2.71,0.053908727,0.283658589,,
2.72,0.054528166,0.283208245,,
2.73,0.055151965,0.282752332,,
2.74,0.055780111,0.28229088,,
2.75,0.05641259,0.281823919,,
2.76,0.057049389,0.281351477,,
2.77,0.057690491,0.280873586,,
2.78,0.058335881,0.280390276,,
2.79,0.058985542,0.279901577,,
2.8,0.059639456,0.279407521,,
2.81,0.060297604,0.278908138,,
2.82,0.060959967,0.278403462,,
2.83,0.061626524,0.277893523,,
2.84,0.062297255,0.277378354,,
2.85,0.062972137,0.276857988,,
2.86,0.063651148,0.276332457,,
2.87,0.064334264,0.275801795,,
2.88,0.06502146,0.275266035,,
2.89,0.06571271,0.27472521,,
2.9,0.066407989,0.274179356,,
2.91,0.067107269,0.273628505,,
2.92,0.067810521,0.273072692,,
2.93,0.068517718,0.272511952,,
2.94,0.069228828,0.271946321,,
2.95,0.069943821,0.271375833,,
2.96,0.070662666,0.270800524,,
2.97,0.071385329,0.270220429,,
2.98,0.072111776,0.269635585,,
2.99,0.072841975,0.269046029,,
3,0.073575888,0.268451795,,
3.01,0.07431348,0.267852922,,
3.02,0.075054714,0.267249445,,
3.03,0.075799551,0.266641403,,
3.04,0.076547952,0.266028833,,
3.05,0.077299877,0.265411771,,
3.06,0.078055286,0.264790257,,
3.07,0.078814136,0.264164328,,
3.08,0.079576384,0.263534022,,
3.09,0.080341987,0.262899377,,
3.1,0.081110901,0.262260433,,
3.11,0.081883079,0.261617228,,
3.12,0.082658476,0.260969801,,
3.13,0.083437043,0.260318192,,
3.14,0.084218732,0.259662439,,
3.15,0.085003494,0.259002582,,
3.16,0.08579128,0.258338661,,
3.17,0.086582037,0.257670716,,
3.18,0.087375714,0.256998787,,
3.19,0.088172257,0.256322913,,
3.2,0.088971613,0.255643137,,
3.21,0.089773728,0.254959497,,
3.22,0.090578544,0.254272035,,
3.23,0.091386007,0.253580791,,
3.24,0.092196057,0.252885807,,
3.25,0.093008638,0.252187123,,
3.26,0.093823688,0.251484781,,
3.27,0.09464115,0.250778822,,
3.28,0.09546096,0.250069288,,
3.29,0.096283057,0.24935622,,
3.3,0.097107379,0.248639659,,
3.31,0.097933861,0.247919649,,
3.32,0.09876244,0.24719623,,
3.33,0.099593048,0.246469445,,
3.34,0.100425621,0.245739336,,
3.35,0.101260091,0.245005945,,
3.36,0.10209639,0.244269314,,
3.37,0.102934449,0.243529487,,
3.38,0.103774198,0.242786504,,
3.39,0.104615567,0.24204041,,
3.4,0.105458485,0.241291247,,
3.41,0.106302879,0.240539057,,
3.42,0.107148676,0.239783883,,
3.43,0.107995803,0.239025768,,
3.44,0.108844185,0.238264756,,
3.45,0.109693747,0.237500888,,
3.46,0.110544413,0.236734209,,
3.47,0.111396105,0.235964761,,
3.48,0.112248747,0.235192587,,
3.49,0.11310226,0.23441773,,
3.5,0.113956565,0.233640235,,
3.51,0.114811582,0.232860143,,
3.52,0.115667231,0.232077499,,
3.53,0.11652343,0.231292345,,
3.54,0.117380098,0.230504726,,
3.55,0.118237152,0.229714683,,
3.56,0.119094508,0.228922261,,
3.57,0.119952084,0.228127503,,
3.58,0.120809795,0.227330453,,
3.59,0.121667555,0.226531153,,
3.6,0.122525279,0.225729647,,
3.61,0.12338288,0.224925978,,
3.62,0.124240272,0.224120191,,
3.63,0.125097367,0.223312328,,
3.64,0.125954076,0.222502432,,
3.65,0.126810312,0.221690546,,
3.66,0.127665986,0.220876715,,
3.67,0.128521007,0.220060982,,
3.68,0.129375285,0.219243388,,
3.69,0.13022873,0.218423979,,
3.7,0.131081251,0.217602796,,
3.71,0.131932756,0.216779883,,
3.72,0.132783153,0.215955283,,
3.73,0.133632349,0.215129039,,
3.74,0.134480252,0.214301194,,
3.75,0.135326769,0.213471791,,
3.76,0.136171806,0.212640872,,
3.77,0.137015268,0.211808481,,
3.78,0.137857062,0.21097466,,
3.79,0.138697093,0.210139451,,
3.8,0.139535265,0.209302898,,
3.81,0.140371484,0.208465042,,
3.82,0.141205654,0.207625926,,
3.83,0.142037679,0.206785593,,
3.84,0.142867463,0.205944084,,
3.85,0.143694909,0.205101442,,
3.86,0.144519922,0.204257709,,
3.87,0.145342404,0.203412926,,
3.88,0.146162259,0.202567135,,
3.89,0.146979389,0.201720379,,
3.9,0.147793698,0.200872698,,
3.91,0.148605087,0.200024134,,
3.92,0.149413461,0.199174729,,
3.93,0.15021872,0.198324524,,
3.94,0.151020768,0.197473559,,
3.95,0.151819508,0.196621876,,
3.96,0.152614841,0.195769516,,
3.97,0.15340667,0.19491652,,
3.98,0.154194897,0.194062927,,
3.99,0.154979425,0.19320878,,
4,0.155760157,0.192354117,,
4.01,0.156536994,0.191498979,,
4.02,0.15730984,0.190643406,,
4.03,0.158078598,0.189787438,,
4.04,0.158843171,0.188931114,,
4.05,0.15960346,0.188074475,,
4.06,0.160359371,0.18721756,,
4.07,0.161110806,0.186360408,,
4.08,0.16185767,0.185503057,,
4.09,0.162599865,0.184645548,,
4.1,0.163337297,0.183787918,,
4.11,0.164069869,0.182930207,,
4.12,0.164797487,0.182072452,,
4.13,0.165520055,0.181214692,,
4.14,0.16623748,0.180356966,,
4.15,0.166949666,0.17949931,,
4.16,0.167656521,0.178641763,,
4.17,0.16835795,0.177784361,,
4.18,0.169053861,0.176927144,,
4.19,0.169744161,0.176070146,,
4.2,0.170428758,0.175213407,,
4.21,0.17110756,0.174356961,,
4.22,0.171780477,0.173500846,,
4.23,0.172447418,0.172645098,,
4.24,0.173108292,0.171789753,,
4.25,0.173763011,0.170934847,,
4.26,0.174411486,0.170080417,,
4.27,0.175053627,0.169226496,,
4.28,0.175689348,0.168373121,,
4.29,0.176318561,0.167520327,,
4.3,0.176941181,0.166668148,,
4.31,0.177557121,0.165816619,,
4.32,0.178166297,0.164965775,,
4.33,0.178768624,0.16411565,,
4.34,0.179364019,0.163266278,,
4.35,0.179952399,0.162417692,,
4.36,0.180533682,0.161569926,,
4.37,0.181107788,0.160723014,,
4.38,0.181674635,0.159876988,,
4.39,0.182234144,0.159031882,,
4.4,0.182786237,0.158187727,,
4.41,0.183330836,0.157344557,,
4.42,0.183867864,0.156502403,,
4.43,0.184397244,0.155661297,,
4.44,0.184918903,0.154821271,,
4.45,0.185432766,0.153982357,,
4.46,0.185938759,0.153144585,,
4.47,0.186436811,0.152307986,,
4.48,0.186926851,0.151472592,,
4.49,0.187408807,0.150638432,,
4.5,0.187882613,0.149805537,,
4.51,0.188348198,0.148973936,,
4.52,0.188805497,0.148143659,,
4.53,0.189254443,0.147314737,,
4.54,0.189694971,0.146487197,,
4.55,0.190127018,0.145661069,,
4.56,0.190550522,0.144836381,,
4.57,0.19096542,0.144013162,,
4.58,0.191371653,0.14319144,,
4.59,0.191769162,0.142371243,,
4.6,0.192157888,0.141552598,,
4.61,0.192537775,0.140735533,,
4.62,0.192908767,0.139920075,,
4.63,0.19327081,0.13910625,,
4.64,0.193623851,0.138294086,,
4.65,0.193967839,0.137483608,,
4.66,0.194302722,0.136674843,,
4.67,0.194628452,0.135867816,,
4.68,0.19494498,0.135062553,,
4.69,0.195252261,0.13425908,,
4.7,0.195550247,0.13345742,,
4.71,0.195838897,0.132657599,,
4.72,0.196118166,0.131859641,,
4.73,0.196388014,0.13106357,,
4.74,0.196648401,0.130269411,,
4.75,0.196899287,0.129477186,,
4.76,0.197140637,0.12868692,,
4.77,0.197372413,0.127898634,,
4.78,0.197594582,0.127112353,,
4.79,0.197807111,0.126328098,,
4.8,0.198009967,0.125545892,,
4.81,0.198203121,0.124765756,,
4.82,0.198386543,0.123987713,,
4.83,0.198560208,0.123211784,,
4.84,0.198724087,0.12243799,,
4.85,0.198878158,0.121666352,,
4.86,0.199022397,0.12089689,,
4.87,0.199156783,0.120129624,,
4.88,0.199281294,0.119364576,,
4.89,0.199395914,0.118601764,,
4.9,0.199500624,0.117841209,,
4.91,0.19959541,0.117082929,,
4.92,0.199680256,0.116326943,,
4.93,0.19975515,0.11557327,,
4.94,0.199820081,0.114821928,,
4.95,0.199875039,0.114072936,,
4.96,0.199920016,0.113326311,,
4.97,0.199955005,0.112582071,,
4.98,0.199980001,0.111840233,,
4.99,0.199995,0.111100815,,
5,0.2,0.110363832,,
